Baseline 100%T,,sample1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
568.9713745,0.1091705263,568.9713745,0.009815356694,
567.9260864,0.1087050289,567.9260864,0.01047324203,
567.0299072,0.1083786562,567.0299072,0.01109526493,
565.9841309,0.107890211,565.9841309,0.01180879492,
564.9381104,0.1074720398,564.9381104,0.01237951592,
564.0412598,0.1071480438,564.0412598,0.0128763197,
562.9946899,0.1065861061,562.9946899,0.01344457455,
561.947876,0.1061349437,561.947876,0.01377794333,
561.050415,0.1056495756,561.050415,0.01402416173,
560.0031128,0.1051309854,560.0031128,0.01418564748,
558.9555054,0.1046470776,558.9555054,0.01441165153,
558.0574341,0.1042976007,558.0574341,0.01440365054,
557.0093384,0.1038782001,557.0093384,0.01428410877,
555.9609985,0.1043359786,555.9609985,0.01415652223,
555.0622559,0.1039981321,555.0622559,0.01384360064,
554.0134277,0.1037451848,554.0134277,0.01338944305,
552.9643555,0.1034165993,552.9643555,0.01299571525,
552.0649414,0.1033660248,552.0649414,0.01260658074,
551.0153809,0.1031073332,551.0153809,0.0122624198,
549.9655762,0.1031319872,549.9655762,0.01158259902,
549.0654907,0.1029814109,549.0654907,0.01117161941,
548.0151978,0.1029734388,548.0151978,0.01059303991,
546.9646606,0.1030657217,546.9646606,0.0100096669,
546.0639648,0.1031726226,546.0639648,0.00953764189,
545.0129395,0.1043497697,545.0129395,0.009115454741,
543.9616699,0.1046125218,543.9616699,0.008626443334,
543.0603027,0.1048983037,543.0603027,0.008225506172,
542.0085449,0.1051747128,542.0085449,0.007879684679,
540.956543,0.1055370793,540.956543,0.007557632867,
540.0545654,0.1050768122,540.0545654,0.007336351089,
539.0020752,0.1057898477,539.0020752,0.006864591502,
537.9493408,0.106228061,537.9493408,0.006668555085,
537.0467529,0.107645236,537.0467529,0.006436375435,
535.9935303,0.1073920801,535.9935303,0.006127967499,
534.9400635,0.1089253873,534.9400635,0.006040761247,
534.0368652,0.109292157,534.0368652,0.005909564439,
532.9829102,0.1086795628,532.9829102,0.005768806674,
531.9287109,0.1094854698,531.9287109,0.005637587048,
531.0249634,0.1110139638,531.0249634,0.005627753213,
529.9702759,0.1116792411,529.9702759,0.005496655125,
529.0661011,0.1119745448,529.0661011,0.005528350826,
528.0109253,0.1125635654,528.0109253,0.00555721717,
526.9555664,0.1121793762,526.9555664,0.005523212254,
526.0507813,0.1126351878,526.0507813,0.005515189841,
524.9949341,0.1133305058,524.9949341,0.005491333082,
523.9388428,0.1138560921,523.9388428,0.005624632351,
523.0333862,0.1142132133,523.0333862,0.005663916934,
521.9768677,0.114741385,521.9768677,0.005619282834,
521.0710449,0.1149919555,521.0710449,0.005624842364,
520.0140381,0.1153795868,520.0140381,0.005562749691,
518.9567871,0.1156835631,518.9567871,0.005640157033,
518.050415,0.1160731316,518.050415,0.0054995385,
516.9926758,0.1164059862,516.9926758,0.005431985483,
515.9347534,0.1166348904,515.9347534,0.005391411949,
515.02771,0.116876252,515.02771,0.005224437919,
513.9693604,0.1169613674,513.9693604,0.005317848176,
513.0619507,0.117269367,513.0619507,0.005041972268,
512.0031128,0.1173809096,512.0031128,0.004959094338,
510.9440002,0.1176041886,510.9440002,0.004698466044,
510.0360107,0.1176379248,510.0360107,0.004595744424,
508.9764709,0.1176652461,508.9764709,0.004515122622,
508.0681152,0.1176783815,508.0681152,0.004394244403,
507.0081177,0.1176537797,507.0081177,0.00411106227,
505.9479065,0.1176013723,505.9479065,0.003902446944,
505.0389404,0.1174619198,505.0389404,0.003894584952,
503.9782715,0.1174358651,503.9782715,0.0036864914,
503.0689392,0.1172593981,503.0689392,0.003681087168,
502.0078125,0.1171317101,502.0078125,0.003530401736,
500.9464722,0.1169199571,500.9464722,0.003448907519,
500.0365601,0.1166921556,500.0365601,0.003303154139,
498.9747925,0.1164424345,498.9747925,0.003226292552,
498.0644836,0.116150476,498.0644836,0.003164411522,
497.0022583,0.1159049571,497.0022583,0.00299422536,
495.9398193,0.1155877858,495.9398193,0.003053735942,
495.0289612,0.1153112203,495.0289612,0.002920936793,
493.9660645,0.1149525568,493.9660645,0.00272331154,
493.0548096,0.1156603172,493.0548096,0.002645901404,
491.9914856,0.1152951494,491.9914856,0.002867567819,
490.927948,0.1151978448,490.927948,0.002730058273,
490.0161438,0.1150938049,490.0161438,0.002625691704,
488.9521484,0.1150038242,488.9521484,0.002566474024,
488.039978,0.1149569377,488.039978,0.002627306385,
486.9755554,0.1150952578,486.9755554,0.002664419124,
486.0630188,0.1153732017,486.0630188,0.002543533919,
484.9981995,0.1154376939,484.9981995,0.002481906209,
483.9331055,0.1157546565,483.9331055,0.002551293233,
483.0200195,0.1163839847,483.0200195,0.002529005054,
481.9545288,0.1159018129,481.9545288,0.002480500378,
481.0410767,0.1163121462,481.0410767,0.002469930798,
479.9751587,0.116899088,479.9751587,0.002450197702,
479.0613403,0.1174963862,479.0613403,0.002335722093,
477.9949951,0.1180247366,477.9949951,0.00235584029,
476.9284363,0.1186839044,476.9284363,0.002182822907,
476.0140686,0.1191549748,476.0140686,0.002124914201,
474.9470825,0.1195944473,474.9470825,0.00225601322,
474.0323486,0.1201929748,474.0323486,0.002173092915,
472.9649658,0.1207865551,472.9649658,0.002149809385,
472.0498657,0.1210928336,472.0498657,0.002273291349,
470.9820557,0.1216908991,470.9820557,0.002100488637,
470.0666199,0.1219584346,470.0666199,0.002040562453,
468.9983826,0.1223994419,468.9983826,0.002037285361,
467.9299316,0.1228024364,467.9299316,0.002009822289,
467.0139771,0.1230836436,467.0139771,0.002049925504,
465.9450989,0.1235040575,465.9450989,0.001955759013,
465.0287781,0.1237291992,465.0287781,0.001954406966,
463.9595032,0.1240133867,463.9595032,0.001954380888,
463.0428162,0.1242621243,463.0428162,0.001953106723,
461.973175,0.1255123615,461.973175,0.001955186948,
461.0561218,0.1257261485,461.0561218,0.001863978803,
459.9860535,0.1260538846,459.9860535,0.001955759013,
459.0686951,0.1262316406,459.0686951,0.002048494993,
457.9981995,0.125463739,457.9981995,0.001951494603,
456.9275208,0.1257729232,456.9275208,0.001836812473,
456.009613,0.1258740872,456.009613,0.001944551943,
454.9385071,0.127074644,454.9385071,0.001905186567,
454.0202637,0.1272048354,454.0202637,0.001870868145,
452.9487915,0.1272879243,452.9487915,0.001910412568,
452.0301819,0.1273701191,452.0301819,0.001889092964,
450.958313,0.1275361478,450.958313,0.00183585065,
450.0393677,0.1275912225,450.0393677,0.001847522799,
448.9671021,0.1277855337,448.9671021,0.001750827301,
448.047821,0.1277363747,448.047821,0.001919486676,
446.9751587,0.1279732734,446.9751587,0.001834784867,
446.055542,0.1280908436,446.055542,0.00180777628,
444.9824829,0.12814188,444.9824829,0.001849472523,
444.062561,0.1283018887,444.062561,0.001783602638,
442.9891052,0.1283179969,442.9891052,0.001891302876,
442.0688171,0.1283731908,442.0688171,0.001725877053,
440.9949951,0.1283725649,440.9949951,0.001869828324,
440.0743713,0.128594622,440.0743713,0.001767643495,
439.0001526,0.1285771132,439.0001526,0.001772867865,
437.9257202,0.128585428,437.9257202,0.001782978768,
437.0046082,0.1275548637,437.0046082,0.001748384209,
435.9297791,0.1286795884,435.9297791,0.001747942297,
435.0083313,0.128611356,435.0083313,0.001793479896,
433.933136,0.1274514794,433.933136,0.001654646941,
433.0113831,0.1273505688,433.0113831,0.001777806319,
431.935791,0.1272863001,431.935791,0.001730866963,
431.0137024,0.1272179037,431.0137024,0.001631910913,
429.9377441,0.1282763928,429.9377441,0.001734635443,
429.0153198,0.1281939298,429.0153198,0.001691780752,
427.9389954,0.1280157864,427.9389954,0.001788047375,
427.0162659,0.1279371679,427.0162659,0.001700382563,
425.9395447,0.127817139,425.9395447,0.001779365819,
425.01651,0.1275873333,425.01651,0.001823139028,
423.9394226,0.1273743063,423.9394226,0.001904120552,
423.0160522,0.1273390204,423.0160522,0.001784096472,
421.9385986,0.1272230446,421.9385986,0.001759352279,
421.0148926,0.1270373166,421.0148926,0.001811389462,
419.9370728,0.1269065589,419.9370728,0.001864576829,
419.0130615,0.1267678887,419.0130615,0.001825400512,
417.9348755,0.1253798902,417.9348755,0.001883243327,
417.0105591,0.1252237856,417.0105591,0.001861977042,
415.9319763,0.1250565797,415.9319763,0.002002852736,
415.0073547,0.1249166802,415.0073547,0.001966316253,
413.9284363,0.1246627048,413.9284363,0.001864992781,
413.003479,0.1242872104,413.003479,0.001849602559,
411.9241943,0.1239352077,411.9241943,0.001931577106,
410.9989319,0.1235282421,410.9989319,0.001960621681,
410.0735474,0.123306714,410.0735474,0.001892680768,
408.9937439,0.1228137687,408.9937439,0.002027220558,
408.0680237,0.1224393174,408.0680237,0.001995597268,
406.987854,0.1219103783,406.987854,0.002055725316,
406.0618591,0.1216460913,406.0618591,0.00191901857,
404.9813232,0.1210530475,404.9813232,0.002081318758,
404.0549927,0.1207475141,404.0549927,0.001993308775,
402.9741211,0.1204249114,402.9741211,0.002086000517,
402.0475159,0.1201704443,402.0475159,0.001942003728,
400.9662781,0.119828552,400.9662781,0.002017051913,
400.0393372,0.1195350587,400.0393372,0.002162738703,
398.9577637,0.1193055362,398.9577637,0.002100566868,
398.0305481,0.1190602407,398.0305481,0.002088809852,
396.9486084,0.1188825965,396.9486084,0.00209895405,
396.0210876,0.1186822727,396.0210876,0.002176162787,
394.9388123,0.1185853183,394.9388123,0.002081656829,
394.0109863,0.1185298488,394.0109863,0.002234390471,
392.9283752,0.1198476925,392.9283752,0.00215269695,
392.0002441,0.1199306622,392.0002441,0.002248571254,
391.071991,0.119047232,391.071991,0.002300745109,
389.9888611,0.1193331331,389.9888611,0.002319924999,
389.0603333,0.1196335852,389.0603333,0.002306704642,
387.9768677,0.1199807152,387.9768677,0.002205717843,
387.0480347,0.1202559695,387.0480347,0.002320185071,
385.9642029,0.1207601279,385.9642029,0.002242716728,
385.0350952,0.1210436076,385.0350952,0.002427003346,
383.9509583,0.1215553284,383.9509583,0.002320211148,
383.0215149,0.1219097897,383.0215149,0.002366016852,
381.9370422,0.12247511,381.9370422,0.002324244939,
381.0073547,0.1227776408,381.0073547,0.002491773339,
379.9225159,0.1233389676,379.9225159,0.00238970248,
378.9925537,0.1236200035,378.9925537,0.002456523478,
378.0624084,0.1238721311,378.0624084,0.002542362316,
376.9771118,0.1242623255,376.9771118,0.002531114034,
376.0467224,0.1246647388,376.0467224,0.002633843105,
374.9610901,0.1249690428,374.9610901,0.002656293102,
374.0303955,0.1251520514,374.0303955,0.002676139819,
372.9444275,0.1253641695,372.9444275,0.002718023723,
372.0134583,0.1246849522,372.0134583,0.00286105345,
370.9271851,0.1248238161,370.9271851,0.00290428428,
369.9959412,0.125078097,369.9959412,0.002830333309,
369.0645752,0.1251436919,369.0645752,0.002865873976,
367.9778137,0.1260477901,367.9778137,0.002927425783,
367.0461426,0.1253157705,367.0461426,0.003157345112,
365.9590759,0.1263061464,365.9590759,0.003192417091,
365.0271606,0.1264061183,365.0271606,0.003176093334,
363.9397278,0.1263784766,363.9397278,0.003373037558,
363.0075378,0.1263046563,363.0075378,0.003312492045,
362.0752258,0.126187101,362.0752258,0.00334992446,
360.9873352,0.126548931,360.9873352,0.003381464165,
360.0547485,0.1265693307,360.0547485,0.003509654896,
358.9665527,0.126688838,358.9665527,0.003315674374,
358.0336914,0.1266613603,358.0336914,0.003363646101,
356.9451904,0.1266648173,356.9451904,0.003431008663,
356.0120544,0.1266457587,356.0120544,0.003580981167,
354.9232483,0.1267074794,354.9232483,0.003515787423,
353.9898682,0.1266722083,353.9898682,0.003489457071,
353.0563354,0.1259445548,353.0563354,0.003445254639,
351.9670715,0.1265213192,351.9670715,0.003392447485,
