Baseline 100%T,,sample4,,sample5,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
447.061615,0.1691765934,447.061615,0.0473716706,447.061615,0.04673040658,
445.9884644,0.1690972596,445.9884644,0.04498635232,445.9884644,0.04444551468,
445.0684509,0.169349134,445.0684509,0.04282236844,445.0684509,0.04232601821,
443.9949036,0.1695733368,443.9949036,0.04062758014,443.9949036,0.04001643136,
443.0745544,0.1699316651,443.0745544,0.03847488388,443.0745544,0.03800421208,
442.0006104,0.1702192277,442.0006104,0.03596344963,442.0006104,0.03535958007,
440.9264832,0.1698964089,440.9264832,0.03328212723,440.9264832,0.03287165985,
440.0056152,0.1699809432,440.0056152,0.03143553063,440.0056152,0.03095343336,
438.9310913,0.1703062207,438.9310913,0.02945574559,438.9310913,0.02883241512,
438.0099182,0.1690499336,438.0099182,0.0279853195,438.0099182,0.02775023878,
436.9349976,0.1693104506,436.9349976,0.02630135231,436.9349976,0.02598508261,
436.0134888,0.1706762016,436.0134888,0.02470074035,436.0134888,0.02436838485,
434.9382019,0.169584468,434.9382019,0.02302856185,434.9382019,0.02294089645,
434.0163574,0.1704543382,434.0163574,0.02184774913,434.0163574,0.02182635292,
432.9406738,0.1703888476,432.9406738,0.02071368694,432.9406738,0.02057285234,
432.0184937,0.1704975814,432.0184937,0.01967021637,432.0184937,0.01963124238,
430.9424438,0.1705542356,430.9424438,0.01863062568,430.9424438,0.01851048134,
430.0199585,0.1704904884,430.0199585,0.01765856706,430.0199585,0.01744347811,
428.943512,0.1706739068,428.943512,0.01652066782,428.943512,0.01632882468,
428.0207214,0.1706240922,428.0207214,0.01599650085,428.0207214,0.01580590941,
426.9439087,0.1706806123,426.9439087,0.01491086744,426.9439087,0.01507463958,
426.020752,0.1705064327,426.020752,0.01448471099,426.020752,0.01450098399,
424.943573,0.1705600619,424.943573,0.01365472656,424.943573,0.0136627676,
424.0201111,0.1699915826,424.0201111,0.01351052802,424.0201111,0.01340716984,
422.9425659,0.1699783653,422.9425659,0.012957762,422.9425659,0.01286192052,
422.0187988,0.1700503528,422.0187988,0.01272707526,422.0187988,0.01286999974,
420.9408569,0.1695492864,420.9408569,0.01225397922,420.9408569,0.01236537378,
420.0167847,0.1690897793,420.0167847,0.01217077859,420.0167847,0.01216186024,
418.9384766,0.1691849232,418.9384766,0.01184478588,418.9384766,0.01182810683,
418.0140686,0.1691843867,418.0140686,0.01154915523,418.0140686,0.01159522682,
416.9353943,0.1679543406,416.9353943,0.01153937262,416.9353943,0.01159312669,
416.0106812,0.1679095328,416.0106812,0.01132304128,416.0106812,0.01137068309,
414.9316711,0.1679599881,414.9316711,0.01108119078,414.9316711,0.01094517112,
414.0066223,0.1677346677,414.0066223,0.010900761,414.0066223,0.01093449909,
412.9272156,0.1674890667,412.9272156,0.01093561482,412.9272156,0.01098706387,
412.0018921,0.1676810384,412.0018921,0.01064203493,412.0018921,0.0106291417,
411.0763855,0.1675896943,411.0763855,0.01065720897,411.0763855,0.0105113769,
409.9964905,0.166688174,409.9964905,0.01061325241,409.9964905,0.01051113848,
409.0706787,0.1664094478,409.0706787,0.01073568873,409.0706787,0.01055508386,
407.990387,0.1664500833,407.990387,0.010420979,407.990387,0.01044264156,
407.0643005,0.1661572307,407.0643005,0.01052384172,407.0643005,0.01042357739,
405.9836731,0.1658830047,405.9836731,0.0105235232,405.9836731,0.01043248642,
405.057251,0.165461421,405.057251,0.01060548052,405.057251,0.01039154921,
403.9762573,0.1646261811,403.9762573,0.01044250932,403.9762573,0.01042580511,
403.04953,0.1645543724,403.04953,0.01031427085,403.04953,0.01029651053,
401.9682007,0.1643850505,401.9682007,0.0103232041,401.9682007,0.01071141101,
401.0411682,0.1645200104,401.0411682,0.01027949341,401.0411682,0.01019282732,
399.9594727,0.1645167172,399.9594727,0.0104129985,399.9594727,0.01021365728,
399.0321655,0.164231509,399.0321655,0.01058630273,399.0321655,0.01041159313,
397.9501038,0.1641815603,397.9501038,0.01078854781,397.9501038,0.01041567605,
397.0224915,0.1642053723,397.0224915,0.01092507597,397.0224915,0.01072311215,
395.940094,0.1647264063,395.940094,0.01087392587,395.940094,0.01057882234,
395.0121765,0.166369468,395.0121765,0.0106711369,395.0121765,0.01020756271,
393.9294434,0.1657027751,393.9294434,0.01057497691,393.9294434,0.01025301497,
393.0012207,0.1653917432,393.0012207,0.01074027922,393.0012207,0.01031246781,
392.072876,0.1674295664,392.072876,0.01045955904,392.072876,0.01012991928,
390.989624,0.1656332463,390.989624,0.01007237192,390.989624,0.009742734954,
390.0609741,0.1669561118,390.0609741,0.009691009298,390.0609741,0.00963426102,
388.9773865,0.1682418883,388.9773865,0.009628411382,388.9773865,0.009292340837,
388.0484619,0.1690638661,388.0484619,0.009426891804,388.0484619,0.009122036397,
386.9645386,0.1690834761,386.9645386,0.009748029523,386.9645386,0.009317887947,
386.0353088,0.1698282808,386.0353088,0.009666736238,386.0353088,0.009286708198,
384.9510193,0.1709869355,384.9510193,0.009516817518,384.9510193,0.00893036928,
384.0215149,0.1720748097,384.0215149,0.009025109001,384.0215149,0.00869856216,
382.9368896,0.1725298911,382.9368896,0.008919826709,382.9368896,0.008506078273,
382.0071106,0.1738262177,382.0071106,0.008803738281,382.0071106,0.008375533856,
381.0771484,0.1745039523,381.0771484,0.00870999787,381.0771484,0.008313416503,
379.9920654,0.1749921888,379.9920654,0.008731761016,379.9920654,0.008577068336,
379.0618286,0.1763419658,379.0618286,0.00859726686,379.0618286,0.008303627372,
377.9764099,0.1777132452,377.9764099,0.008162407205,377.9764099,0.007723899093,
377.0458984,0.1771516353,377.0458984,0.007875335403,377.0458984,0.007477513049,
375.960144,0.1784089506,375.960144,0.007771016099,375.960144,0.007272196934,
375.0293274,0.1793586165,375.0293274,0.007395090535,375.0293274,0.007008888293,
373.9432373,0.1803153008,373.9432373,0.007058585063,373.9432373,0.006778446492,
373.0121765,0.1814500242,373.0121765,0.00674991915,373.0121765,0.006456790026,
371.9257507,0.1813682318,371.9257507,0.006898806896,371.9257507,0.006326701958,
370.9943848,0.1814124435,370.9943848,0.0069840285,370.9943848,0.006944361608,
370.0629272,0.1822178662,370.0629272,0.006640008651,370.0629272,0.00637561176,
368.9760132,0.1830648631,368.9760132,0.006880686153,368.9760132,0.006611280143,
368.0442505,0.1842124909,368.0442505,0.006765010767,368.0442505,0.006549913902,
366.9570313,0.1852053702,366.9570313,0.006432487164,366.9570313,0.006243683398,
366.0249939,0.1853615493,366.0249939,0.006198464893,366.0249939,0.006241083611,
364.9374695,0.1873024404,364.9374695,0.005985117983,364.9374695,0.005401292816,
364.0051575,0.1875993013,364.0051575,0.006080687046,364.0051575,0.005908960942,
363.0727234,0.1896327585,363.0727234,0.005274665076,363.0727234,0.005439927801,
361.9847107,0.1891784966,361.9847107,0.005013271235,361.9847107,0.005008033942,
361.052002,0.1884129643,361.052002,0.005370471161,361.052002,0.005070073064,
