Baseline 100%T,,sample4,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
508.0179749,0.1575075388,508.0179749,0.5671365857,
506.9577026,0.1575676203,506.9577026,0.5736302733,
506.0487061,0.1578136683,506.0487061,0.5708144307,
504.9880066,0.1578298658,504.9880066,0.5613127947,
503.9270325,0.1576754302,503.9270325,0.5449109077,
503.0174561,0.1573141664,503.0174561,0.5255532861,
501.9560547,0.1577125639,501.9560547,0.4965547621,
501.0461121,0.1574600339,501.0461121,0.4741587341,
499.9842529,0.1570682526,499.9842529,0.4470262825,
499.0739441,0.1570192277,499.0739441,0.427829355,
498.0116577,0.156650424,498.0116577,0.4021111429,
496.9491577,0.1560249478,496.9491577,0.3767254949,
496.0382385,0.155676946,496.0382385,0.3575203717,
494.9752808,0.1558058411,494.9752808,0.3373636603,
494.0639954,0.1557433009,494.0639954,0.3232869208,
493.0006104,0.1568718404,493.0006104,0.3074854314,
491.9370117,0.1557189524,491.9370117,0.2951487303,
491.0251465,0.1545083523,491.0251465,0.2841850817,
489.9611206,0.1554064453,489.9611206,0.272700429,
489.0488892,0.1557193995,489.0488892,0.2642094493,
487.9844055,0.1549989432,487.9844055,0.2564662397,
487.0718079,0.1542462558,487.0718079,0.2507504523,
486.0069275,0.1551839262,486.0069275,0.2434006333,
484.941803,0.1565480232,484.941803,0.2372312695,
484.0286255,0.1550211012,484.0286255,0.2340041548,
482.9630737,0.1545725614,482.9630737,0.2312683612,
482.0495605,0.1545280367,482.0495605,0.2293126136,
480.9835815,0.1557668597,480.9835815,0.227843076,
480.0697021,0.156804353,480.0697021,0.2268845886,
479.0032959,0.1575867832,479.0032959,0.2254611254,
477.936676,0.1579475999,477.936676,0.2235400081,
477.0222473,0.1587342024,477.0222473,0.2210513502,
475.9552002,0.1592309773,475.9552002,0.216738224,
475.0404053,0.1598090231,475.0404053,0.2118913084,
473.9729309,0.1606941372,473.9729309,0.2041492611,
473.0578003,0.1609602571,473.0578003,0.1966889948,
471.9899292,0.1614928097,471.9899292,0.1876073927,
471.0744019,0.1618471295,471.0744019,0.1806978285,
470.006134,0.1624095589,470.006134,0.1704866141,
468.9376221,0.1631229371,468.9376221,0.1591137052,
468.0215454,0.1635563672,468.0215454,0.1489013135,
466.9526367,0.1637366861,466.9526367,0.1392050534,
466.0362244,0.1641433686,466.0362244,0.1318163425,
464.9668884,0.1645671129,464.9668884,0.1235874221,
464.0501404,0.1645105481,464.0501404,0.1165670082,
462.9804077,0.1650222391,462.9804077,0.1084568352,
462.063324,0.1666061878,462.063324,0.1027617529,
460.9931641,0.167127654,460.9931641,0.09656669945,
460.0757141,0.1669245511,460.0757141,0.09251756966,
459.0051575,0.1661940366,459.0051575,0.08769524097,
457.9343872,0.1660817116,457.9343872,0.0818098411,
457.0164185,0.1664820164,457.0164185,0.07754526287,
455.9452515,0.1666954756,455.9452515,0.07320516557,
455.026947,0.1668706387,455.026947,0.06994433701,
453.9553833,0.1673490405,453.9553833,0.06607206911,
453.0367126,0.1683976203,453.0367126,0.0632416904,
451.9647522,0.1684915423,451.9647522,0.05968169495,
451.0457458,0.1688275933,451.0457458,0.05715062469,
449.9733887,0.1690253317,449.9733887,0.05437995493,
449.0540466,0.169240877,449.0540466,0.05248621479,
447.9812927,0.1691744477,447.9812927,0.04983057454,
447.061615,0.1691765934,447.061615,0.0473716706,
445.9884644,0.1690972596,445.9884644,0.04498635232,
445.0684509,0.169349134,445.0684509,0.04282236844,
443.9949036,0.1695733368,443.9949036,0.04062758014,
443.0745544,0.1699316651,443.0745544,0.03847488388,
442.0006104,0.1702192277,442.0006104,0.03596344963,
440.9264832,0.1698964089,440.9264832,0.03328212723,
440.0056152,0.1699809432,440.0056152,0.03143553063,
438.9310913,0.1703062207,438.9310913,0.02945574559,
438.0099182,0.1690499336,438.0099182,0.0279853195,
436.9349976,0.1693104506,436.9349976,0.02630135231,
436.0134888,0.1706762016,436.0134888,0.02470074035,
434.9382019,0.169584468,434.9382019,0.02302856185,
434.0163574,0.1704543382,434.0163574,0.02184774913,
432.9406738,0.1703888476,432.9406738,0.02071368694,
432.0184937,0.1704975814,432.0184937,0.01967021637,
430.9424438,0.1705542356,430.9424438,0.01863062568,
430.0199585,0.1704904884,430.0199585,0.01765856706,
428.943512,0.1706739068,428.943512,0.01652066782,
428.0207214,0.1706240922,428.0207214,0.01599650085,
426.9439087,0.1706806123,426.9439087,0.01491086744,
426.020752,0.1705064327,426.020752,0.01448471099,
424.943573,0.1705600619,424.943573,0.01365472656,
424.0201111,0.1699915826,424.0201111,0.01351052802,
422.9425659,0.1699783653,422.9425659,0.012957762,
422.0187988,0.1700503528,422.0187988,0.01272707526,
420.9408569,0.1695492864,420.9408569,0.01225397922,
420.0167847,0.1690897793,420.0167847,0.01217077859,
418.9384766,0.1691849232,418.9384766,0.01184478588,
418.0140686,0.1691843867,418.0140686,0.01154915523,
416.9353943,0.1679543406,416.9353943,0.01153937262,
416.0106812,0.1679095328,416.0106812,0.01132304128,
414.9316711,0.1679599881,414.9316711,0.01108119078,
414.0066223,0.1677346677,414.0066223,0.010900761,
412.9272156,0.1674890667,412.9272156,0.01093561482,
