 ,Area1,Mean1,StdDev1,Min1,Max1,Area2,Mean2,StdDev2,Min2,Max2
129,340,5634.4971,2082.2549,1515,11225,340,4833.6558,1869.5570,1150,10493
130,340,5504.7881,2013.3140,1486,11426,340,4776.0972,1856.6700,1022,11082
131,340,5622.7969,2109.5881,1579,12074,340,4866.2881,1885.1722,1604,11091
132,340,5521.8999,2037.2772,1480,10906,340,4733.7002,1803.1283,1245,10753
133,340,5608.3208,2029.6655,1562,11185,340,4825.0352,1862.2208,962,11186
134,340,5453.2588,2019.8801,1316,11169,340,4720.3970,1797.6923,1102,10769
135,340,5590.6885,2058.5278,1542,11368,340,4825.3296,1882.6978,969,11105
136,340,5434.5146,1996.0195,1444,10777,340,4690.8677,1861.2474,1190,10678
137,340,5567.1323,2049.3818,1616,11444,340,4784.3057,1835.1913,1285,11187
138,340,5382.2705,1961.8036,1529,10521,340,4645.9146,1769.9425,1334,11481
139,340,5513.6528,2031.7167,1393,11090,340,4742.3999,1788.4200,1381,12218
140,340,5393.7148,1907.4491,1484,10557,340,4657.8706,1749.3035,1154,10834
141,340,5438.0615,1954.6909,1554,10993,340,4757.9912,1845.2244,1132,10577
142,340,5355.2852,1930.4617,1614,10817,340,4670.7676,1751.0216,981,11014
143,340,5404.5234,1901.3853,1674,10431,340,4724.5737,1737.8073,960,11230
144,340,5335.3057,1919.7386,1708,10544,340,4611.0942,1737.9023,1209,10591
145,340,5338.5293,1901.6156,1393,10799,340,4666.8765,1727.8444,1441,10041
146,340,5290.7822,1959.9672,1522,10539,340,4637.3765,1763.3792,945,11477
147,340,5263.7236,1901.7699,1461,10612,340,4617.2295,1693.8687,1428,10471
148,340,5276.6851,1887.4897,1569,10792,340,4601.8530,1763.3326,1558,10070
149,340,5280.3794,1892.2975,1516,11132,340,4587.1323,1747.2816,1200,11026
150,340,5255.8384,1906.7626,1557,10354,340,4591.7471,1707.4789,1200,11082
151,340,5248.8267,1900.8683,1533,10658,340,4551.1704,1757.8898,1358,10864
152,340,5224.8296,1870.6832,1455,9975,340,4612.5767,1710.7565,1375,10085
153,340,5155.5352,1872.3823,1545,9990,340,4539.2295,1715.0801,1522,9711
154,340,5245.7969,1917.1969,1514,10369,340,4619.3765,1693.4646,1572,9990
155,340,5116.6118,1834.6797,1571,9919,340,4540.3179,1719.6967,1288,9800
156,340,5193.1353,1882.1354,1736,10589,340,4609.3472,1742.1968,1481,10185
157,340,5091.1206,1820.5481,1795,9707,340,4509.5586,1693.4042,1447,9676
158,340,5201.6265,1871.8936,1746,10085,340,4605.6177,1744.0756,1181,11176
159,340,5097.8589,1809.5876,1285,10293,340,4512.8208,1695.4918,1537,10122
160,340,5122.7910,1863.4414,1566,9911,340,4581.7559,1717.9037,1026,9965
